num,,,Accuracy_Rate1,,,Accuracy_Rate2,,,Accuracy_Rate3,,,Accuracy_Rate4,,,Accuracy_Rate5,,,Accuracy_Rate6,Avg_Accuracy_Rate_1_2,Avg_Accuracy_Rate_3_4,Avg_Accuracy_Rate_5_6,team_exp_rating,ai_exp_rating,data_skill_rating
1,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,HIGH,LOW,HIGH
2,,,50,,,0,,,50,,,0,,,50,,,0,25,25,25,LOW,LOW,HIGH
3,,,50,,,50,,,0,,,50,,,0,,,0,50,25,0,LOW,LOW,HIGH
4,,,100,,,50,,,100,,,0,,,50,,,0,75,50,25,LOW,LOW,LOW
5,,,0,,,50,,,100,,,50,,,100,,,50,25,75,75,HIGH,LOW,HIGH
6,,,0,,,50,,,0,,,50,,,0,,,50,25,25,25,LOW,LOW,HIGH
7,,,50,,,50,,,0,,,0,,,0,,,50,50,0,25,LOW,LOW,LOW
8,,,50,,,100,,,50,,,50,,,50,,,0,75,50,25,LOW,LOW,HIGH
9,,,100,,,100,,,50,,,50,,,50,,,0,100,50,25,LOW,LOW,HIGH
10,,,100,,,100,,,100,,,50,,,100,,,100,100,75,100,HIGH,HIGH,HIGH
11,,,100,,,0,,,0,,,0,,,0,,,0,50,0,0,LOW,LOW,HIGH
12,,,100,,,50,,,50,,,50,,,50,,,50,75,50,50,HIGH,LOW,HIGH
13,,,50,,,100,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
14,,,50,,,0,,,50,,,0,,,50,,,100,25,25,75,LOW,HIGH,HIGH
15,,,50,,,0,,,0,,,0,,,0,,,50,25,0,25,LOW,LOW,HIGH
16,,,0,,,100,,,0,,,50,,,0,,,100,50,25,50,LOW,HIGH,LOW
17,,,100,,,100,,,100,,,50,,,100,,,50,100,75,75,LOW,LOW,HIGH
18,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,LOW
19,,,100,,,100,,,100,,,50,,,50,,,100,100,75,75,LOW,LOW,HIGH
20,,,100,,,100,,,50,,,0,,,100,,,100,100,25,100,HIGH,LOW,HIGH
21,,,50,,,0,,,0,,,0,,,100,,,50,25,0,75,HIGH,LOW,LOW
22,,,100,,,50,,,50,,,50,,,100,,,100,75,50,100,HIGH,HIGH,HIGH
23,,,50,,,0,,,50,,,0,,,100,,,50,25,25,75,HIGH,LOW,LOW
24,,,0,,,0,,,0,,,0,,,50,,,0,0,0,25,LOW,HIGH,LOW
25,,,100,,,100,,,100,,,50,,,50,,,0,100,75,25,HIGH,HIGH,HIGH
26,,,50,,,0,,,0,,,0,,,50,,,0,25,0,25,HIGH,LOW,LOW
27,,,100,,,0,,,50,,,50,,,100,,,100,50,50,100,HIGH,HIGH,HIGH
28,,,50,,,50,,,100,,,0,,,0,,,50,50,50,25,HIGH,HIGH,HIGH
29,,,100,,,50,,,100,,,50,,,100,,,0,75,75,50,HIGH,HIGH,LOW
30,,,100,,,50,,,100,,,50,,,100,,,100,75,75,100,LOW,LOW,HIGH
31,,,50,,,100,,,100,,,100,,,100,,,100,75,100,100,HIGH,HIGH,HIGH
32,,,100,,,50,,,50,,,50,,,0,,,100,75,50,50,LOW,LOW,HIGH
33,,,100,,,0,,,100,,,50,,,50,,,50,50,75,50,HIGH,HIGH,HIGH
34,,,100,,,100,,,100,,,0,,,100,,,50,100,50,75,LOW,LOW,HIGH
35,,,50,,,100,,,100,,,50,,,100,,,50,75,75,75,HIGH,LOW,HIGH
36,,,100,,,100,,,100,,,100,,,50,,,50,100,100,50,LOW,LOW,HIGH
37,,,100,,,100,,,100,,,100,,,100,,,100,100,100,100,LOW,LOW,HIGH
